,V1,V4,V7,V10,V13,V16,V19,V22,V25,V28,V31,V34,V37,V40,V43,V46,V49
56,281452905.375727,454169917.818686,613066818.359994,351002333.944717,344910530.299295,498809711.241999,412766172.308955,441207283.97644,314278219.325836,307028895.976049,443287157.00815,322268411.611137,344327683.847339,367183196.741615,455787789.231775,327848209.1087,351305424.034283
57,15676506460.094,12922008722.8781,11797375673.9489,10554363512.4839,10219859860.8516,14926935085.9938,13059723704.7065,10141353184.2231,14006089447.1345,13676491148.14,10533322380.2295,57095561998.4897,15658912642.1913,13175983579.1113,58968635028.8183,12112733248.5644,14547460367.4181
58,6909398.10205704,496209436.948661,84951954.3932302,30472397.3140553,115777105.436663,30206510.9859193,28099650.7444211,61785038.9644104,37355213.7058206,10064406.4774684,458084270.646843,231757166.196301,163678531.746259,34014738.3154706,137128613.687529,56203037.9663635,130147431.004176
59,214961580.631982,32452779.8698505,32941641.433341,355445534.735968,499720895.452938,35213026.4213753,43085722.8000134,35648771.4644309,59944752.6215186,466581171.306949,25938862.1619119,28738949.5952602,223322777.100346,14904351.3472472,416105531.241893,384530147.095099,357736331.93309
60,501233762.885594,438585896.075362,440376920.417238,432979307.515171,488233408.458967,479077618.691136,469691619.898105,518980381.771368,444808651.44922,302949102.181835,512945588.589344,470372015.292678,226045522.902381,221154344.188471,464355237.906394,550595028.972141,235318801.027988
61,431678114.545409,475283059.807113,402754538.566059,420363079.946947,415433379.272576,436972912.753458,485813549.597242,441683415.061432,125667952.889486,156518331.925883,495347445.807261,162383721.751572,346172092.966154,422729305.175911,321038456.802983,48305417.7928554,317919934.60047
62,188324594.107637,84545249.7283185,37447104.6068631,202503732.285221,39630386.6490618,56747234.3662095,39410692.6859694,42206648.6928668,27518302.4347168,27806110.4904484,34367402.3137182,88722118.0445997,25793533.6689785,430471812.956169,76847504.0433675,27355020.9883282,32461792.403077
63,44318937.178223,49361058.8025358,28885437.0944463,40473737.4893554,10806774.4275857,13320860.8704834,17277695.1265246,20424321.2360425,32189215.7517277,32523140.8073367,82102674.7309389,43272069.29584,62862074.8418452,47331233.7772032,17620184.8035391,45143189.3137908,98164422.206572
64,13727384.6730572,440308084.176843,451586445.846367,15688407.809832,9553384.53819817,4026764.34540723,11549950.7580659,8211538.82477326,56388572.2126915,129777147.637168,8725937.06160975,8170518.5350494,138636970.355143,22824646.7845648,425652691.221324,12817970.901105,128211461.12657
65,157308238.870129,8095620.21421493,13342708.0925684,33244171.0175365,99718225.6905541,37641118.8935121,118443770.947869,40610322.9623805,101838933.809208,1901477210.45127,162051932.889823,141241282.60046,131619653.726531,26630664.4447208,144426049.240531,56577923.3216048,342919503.755763
66,716606405.750971,188444753.296137,33172483.870348,816873989.867185,515093343.062046,620619858.675133,703662056.781901,680810334.122727,746442933.762229,550303531.876473,7906191.5492017,781967561.922654,980997178.191586,838817495.894138,10290436.8110782,362029364.896568,783857070.464329
67,41213548.8599708,9544369.69351055,78139942.0780097,19945814.40161,7532943.13005062,46372247.0646663,37557078.8744578,20763641.6858614,49806027.0468019,81868049.9323056,28874645.0997149,79863713.4934465,88197552.528746,32072573.2971799,30972776.0388563,73589682.6139276,79794028.2851724
68,224088623.147962,17317309.597896,155643594.422456,258083246.782383,232428291.937368,247499322.922033,118237816.36293,6467246.46966288,243357798.028677,241156619.329752,206298268.969904,218114980.864606,240190214.965523,260605437.265603,461934271.654983,221182278.74364,231194544.380156
69,7002260583.02209,370009400.165452,27215401.6320199,465942586.155776,471018646.564767,500045685.50265,466679641.229865,474389288.739177,252777195.184651,82967917.4769687,42353306.775026,55962421.4373923,88322494.2708227,25780741.1218728,448538685.162928,58064423.0928963,116720927.453213
