;importance;stddev;p_value;n;p99_high;p99_low
V18 AU09_r AU15_r AU01_r V2;0.2859154550688135;0.022956642549596527;4.944704531996451e-06;5;0.33318349937295194;0.23864741076467505
V18 numFix AU17_r AU01_r hrMean;0.2857374683204737;0.015431458732924242;1.0168418068127251e-06;5;0.3175110551369904;0.253963881503957
V18 numFix AU09_r AU15_r V1;0.28564498576422087;0.03388968412538335;2.3336605408509672e-05;5;0.3554243137835976;0.21586565774484412
V18 numFix AU17_r AU01_r V5;0.28562612469247384;0.018198524564647423;1.966922238248668e-06;5;0.3230971383014227;0.24815511108352495
V18 numFix AU17_r AU01_r V1;0.2855166672196997;0.01735366740116144;1.629612429607723e-06;5;0.321248108251864;0.2497852261875354
V18 numFix AU15_r AU04_r AU01_r;0.285207755703498;0.025554497186364718;7.651926508613693e-06;5;0.337824818610909;0.23259069279608696
numFix AU09_r AU15_r AU01_r;0.2847296785679001;0.05355484302361875;0.00014336138193769254;5;0.3949998405601241;0.1744595165756761
V18 AU17_r AU09_r AU01_r V2;0.28467097716428047;0.019232882361196073;2.4851203200001437e-06;5;0.32427174777266704;0.2450702065558939
V18 numFix AU17_r AU09_r infoProcess;0.28436423090085194;0.03680833619416654;3.2947753158487354e-05;5;0.36015310386991184;0.20857535793179205
V18 numFix AU15_r AU01_r V16;0.2830001673990935;0.020531649627207355;3.3013237051957357e-06;5;0.3252751177590686;0.24072521703911842
numFix AU17_r AU09_r AU01_r;0.2829087966114277;0.04293592698082462;6.17529564934812e-05;5;0.37131446370252164;0.1945031295203338
numFix AU17_r AU15_r AU04_r AU01_r;0.2823261601821505;0.024746749379931474;7.011541436355976e-06;5;0.3332800591918543;0.23137226117244666
V18 numFix AU17_r AU15_r V2;0.281985983024429;0.022242418035373804;4.606859739672063e-06;5;0.32778342918215103;0.236188536866707
V18 AU17_r AU09_r AU15_r AU04_r;0.28177092023411177;0.024405636781449212;6.686908360457639e-06;5;0.3320224636888635;0.23151937677936005
V18 numFix AU17_r AU01_r bvpSD;0.28124764053477025;0.016418919920080065;1.3875004089086568e-06;5;0.3150544235838048;0.2474408574857357
V18 numFix AU17_r AU09_r bvpMean;0.2811210419080945;0.030964093224269126;1.7379955177178937e-05;5;0.34487653782611366;0.21736554599007535
V18 numFix AU17_r tempSD AU09_r;0.2807211655038456;0.030716555428998635;1.6930482581126527e-05;5;0.3439669776800669;0.21747535332762433
V18 AU09_r AU15_r AU01_r infoProcess;0.2806138219011731;0.023672718961402776;6.020433917347143e-06;5;0.32935627743444845;0.2318713663678978
V18 AU17_r AU09_r AU01_r bvpMean;0.2804292386851619;0.01613655910327816;1.309835929534341e-06;5;0.31365463690976014;0.24720384046056368
V18 numFix AU17_r AU01_r V40;0.27915991264762513;0.015904757544391905;1.2589252774012508e-06;5;0.31190802825863856;0.2464117970366117
V18 numFix AU17_r tempSD AU15_r;0.27913280280470687;0.026748564729981213;9.996336515935513e-06;5;0.3342084672881916;0.22405713832122215
V18 numFix AU17_r AU01_r meanFixDur;0.27895846157745663;0.01720090540854092;1.7259566368823675e-06;5;0.3143753635554202;0.2435415595994931
V18 numFix AU09_r AU15_r bvpMean;0.27893136858301826;0.03227872453261079;2.1141810686125035e-05;5;0.3453937085350485;0.212469028630988
V18 AU17_r AU09_r AU01_r infoProcess;0.27837613992543614;0.022565156728241324;5.135838350366064e-06;5;0.32483810951249514;0.23191417033837713
V18 numFix AU17_r AU09_r V17;0.27837088196866666;0.03391799956257379;2.593335536601884e-05;5;0.34820851186457946;0.20853325207275386
V18 AU09_r AU15_r AU01_r bvpMean;0.27822649866653826;0.019761983384684444;3.033846927606645e-06;5;0.3189166955952407;0.23753630173783583
V18 numFix AU17_r AU09_r hrMean;0.2777793282883576;0.03243310439007809;2.1901937552122278e-05;5;0.34455953850066945;0.21099911807604577
V18 numFix AU17_r AU15_r infoProcess;0.27744106747489655;0.023385821076687078;6.000752296166794e-06;5;0.3255927962981921;0.22928933865160103
V18 AU17_r tempSD AU09_r AU01_r;0.27744088028890435;0.026838590774622483;1.0378601278872852e-05;5;0.3327019096425976;0.2221798509352111
V18 numFix AU09_r AU15_r V17;0.2774003511590315;0.035816884791353726;3.2622115526365804e-05;5;0.35114781198638517;0.20365289033167783
V18 numFix AU17_r AU09_r V5;0.27717761749200326;0.03414874898233572;2.7096250955817802e-05;5;0.3474903636325018;0.20686487135150472
V18 numFix AU17_r AU15_r V17;0.27699954954176487;0.02000717602072662;3.243346066746639e-06;5;0.3181946014970005;0.23580449758652922
V18 numFix AU17_r AU15_r V1;0.2769346182424502;0.02126531499758352;4.1395472608953425e-06;5;0.3207201957403628;0.23314904074453754
V18 AU17_r AU09_r AU01_r V1;0.27686135205927564;0.01893691727514764;2.6101461720516898e-06;5;0.31585272646481627;0.237869977653735
numFix AU17_r AU15_r AU01_r V16;0.27645718978935097;0.022542931397229415;5.258607842364332e-06;5;0.3228733971126697;0.2300409824660322
V18 numFix tempSD AU09_r AU15_r;0.2760746117047399;0.031350075889012056;1.9615500563705958e-05;5;0.34062485126431213;0.21152437214516767
V18 AU17_r AU09_r AU15_r V16;0.27605231654653795;0.028729332397935653;1.3876243251696545e-05;5;0.3352064090354594;0.2168982240576165
V18 AU09_r AU15_r AU01_r V1;0.2760320430536421;0.02281875250168292;5.553464105001346e-06;5;0.3230161698432834;0.22904791626400076
V18 numFix AU09_r AU15_r hrMean;0.2757027614315081;0.03487708054767851;3.0086179303645905e-05;5;0.34751515233165947;0.20389037053135678
V18 numFix AU17_r AU15_r bvpMean;0.2751876065941767;0.02091111963532267;3.970440065214606e-06;5;0.31824389094569405;0.23213132224265928
V18 numFix AU09_r AU15_r V5;0.2751325514566358;0.03257526529198023;2.3146808952508317e-05;5;0.3422054729308366;0.208059629982435
numFix AU17_r AU09_r AU15_r AU04_r;0.27494113496203454;0.04263213493771433;6.720087041939655e-05;5;0.3627212900375121;0.18716097988655697
V18 AU17_r AU09_r AU01_r V5;0.27486802140209915;0.017582629866333445;1.9982692421796023e-06;5;0.31107089931465015;0.23866514348954812
V18 numFix AU17_r AU15_r V5;0.27483819024980294;0.024948334849966284;8.059029062898334e-06;5;0.32620715652851573;0.22346922397109012
V18 AU17_r AU15_r AU01_r V2;0.2746573636240853;0.015104414829019419;1.09315728296926e-06;5;0.3057575625222349;0.24355716472593575
numFix AU09_r AU01_r V2 V16;0.2745107283538828;0.04892203062175706;0.00011608892239598518;5;0.3752418655784014;0.1737795911293642
V18 numFix AU17_r AU15_r hrMean;0.27450197088491546;0.019418211558605264;2.9849987565111238e-06;5;0.31448433687228927;0.23451960489754164
V18 AU17_r AU09_r AU01_r V17;0.27447621524048504;0.01800997075483932;2.2116959153808125e-06;5;0.3115589939489484;0.23739343653202166
V18 AU09_r AU15_r AU01_r V30;0.2737298785448975;0.02371916431325682;6.698145059239753e-06;5;0.3225679656995833;0.2248917913902117
V18 AU09_r AU15_r AU01_r V17;0.2733934833533811;0.022752169455214143;5.703218789658257e-06;5;0.3202405147300677;0.22654645197669449
V18 numFix AU09_r AU15_r V40;0.273304428519564;0.03510372371023942;3.195319563912812e-05;5;0.34558348082396967;0.2010253762151583
V18 AU09_r AU15_r AU01_r V5;0.27307852932978083;0.02036015436731066;3.6808083949656084e-06;5;0.31500036857931224;0.23115669008024942
numFix AU09_r AU01_r infoProcess V2;0.2729796140914427;0.054029489707271595;0.00017491756455445117;5;0.38422708016562224;0.16173214801726318
V18 numFix AU17_r AU09_r V40;0.27263515601151084;0.03378254730808646;2.7719439088206217e-05;5;0.34219388784328514;0.20307642417973654
V18 numFix AU17_r AU09_r meanFixDur;0.27259069332363517;0.03415993768272217;2.8984521796857837e-05;5;0.3429264771528737;0.20225490949439665
V18 AU17_r AU09_r AU01_r hrMean;0.2725568325405918;0.014747976864750021;1.024682304076879e-06;5;0.3029231207438145;0.24219054433736914
numFix AU17_r AU09_r AU15_r V16;0.272520731998772;0.042047389174068875;6.589896533385349e-05;5;0.35909688746485824;0.1859445765326858
V18 AU09_r AU15_r AU01_r V40;0.27244748197372853;0.022860960147671857;5.893344501686502e-06;5;0.31951851488983274;0.22537644905762433
V18 AU17_r tempSD AU15_r AU01_r;0.2720953467526611;0.02813307093460432;1.3520732802994666e-05;5;0.3300217286473741;0.2141689648579481
V18 numFix AU17_r AU09_r bvpSD;0.27203661159123155;0.03262319899250938;2.4349830140008658e-05;5;0.33920822921733607;0.20486499396512706
V18 numFix AU09_r AU15_r meanFixDur;0.2719080231038184;0.032966495903313894;2.542845890387158e-05;5;0.33978649381413695;0.20402955239349987
V18 numFix AU15_r AU01_r V2;0.2718223650645807;0.02563387313175725;9.379187212116899e-06;5;0.3246028641406471;0.2190418659885143
V18 numFix AU17_r AU01_r;0.2717694960504271;0.015536153085095752;1.2760343424153087e-06;5;0.3037586499850947;0.2397803421157595
numFix AU09_r AU01_r V1 V2;0.27166665115208893;0.05158292635980661;0.00014875319546036114;5;0.377876609478739;0.16545669282543882
V18 AU17_r AU09_r AU01_r V40;0.2715216193806607;0.01747321124772963;2.046728495641297e-06;5;0.30749920284518045;0.23554403591614098
V18 tempSD AU09_r AU15_r AU01_r;0.2711224597301281;0.02174696553924454;4.9249014390112815e-06;5;0.31589976235043876;0.22634515710981748
V18 AU09_r AU15_r AU01_r hrMean;0.2709601789735216;0.023390480535441332;6.598012340934554e-06;5;0.3191215016867927;0.2227988562602505
V18 AU17_r AU09_r AU01_r V30;0.27079610632240597;0.02039339109730739;3.830825674407374e-06;5;0.3127863804583811;0.22880583218643089
V18 AU17_r AU15_r AU01_r bvpMean;0.2705240685467912;0.015419558289429189;1.2611489670675483e-06;5;0.30227315218566997;0.23877498490791238
numFix AU17_r AU15_r AU01_r V2;0.2704931838726921;0.02620152921373744;1.0433947471853451e-05;5;0.32444249466739655;0.21654387307798767
V18 numFix AU17_r AU09_r V30;0.27027118510471626;0.03148389052237201;2.1702943238058928e-05;5;0.3350969508438914;0.20544541936554112
numFix AU09_r AU01_r infoProcess V16;0.27020199562301844;0.051784604303390144;0.00015426041977215855;5;0.3768272116229925;0.1635767796230444
V18 numFix AU17_r AU01_r V30;0.26984693906377544;0.015313919137726032;1.2393501848919734e-06;5;0.3013785102292092;0.23831536789834168
V18 AU17_r AU15_r AU01_r V17;0.2697381368475925;0.012929321553269755;6.315176976263874e-07;5;0.2963597886279896;0.24311648506719538
V18 numFix AU17_r AU15_r V40;0.26961872409173376;0.021789786011571614;5.0748157985500505e-06;5;0.31448419465640765;0.22475325352705988
numFix AU17_r AU09_r AU15_r V2;0.26901761915453315;0.04496990001882229;9.031000469401766e-05;5;0.36161126484335915;0.17642397346570712
V18 AU17_r AU15_r AU01_r V5;0.2687957315264534;0.01640190624344617;1.6554499533852201e-06;5;0.3025674831801448;0.23502397987276202
V18 numFix AU17_r AU15_r meanFixDur;0.26861208536525794;0.02316068417497892;6.567374701853286e-06;5;0.3163002541962137;0.22092391653430216
V18 AU17_r AU09_r AU01_r bvpSD;0.2682796530392945;0.01645184526199153;1.6885514802987246e-06;5;0.30215422982240137;0.23440507625618764
V18 AU17_r AU15_r AU04_r V16;0.2681443107757446;0.017671006576006214;2.2503050792217907e-06;5;0.30452915755500776;0.2317594639964814
V18 numFix AU09_r AU15_r V30;0.2679361446830959;0.0340442459909835;3.0615379940267965e-05;5;0.3380337177200154;0.1978385716461764
V18 numFix AU15_r AU01_r infoProcess;0.26787092819870156;0.024978337726500318;8.968395693548148e-06;5;0.31930167081488176;0.21644018558252137
V18 AU17_r AU15_r AU01_r infoProcess;0.26779856276665637;0.014397563730474733;9.986940023149939e-07;5;0.297443345483182;0.23815378005013071
numFix AU09_r AU01_r V1 infoProcess;0.2675573896112812;0.05407116664891402;0.00018970968478197693;5;0.37889066908433905;0.1562241101382234
V18 numFix AU17_r AU15_r bvpSD;0.2673654827655737;0.021411017037183618;4.8933316150695425e-06;5;0.31145106277683915;0.22327990275430826
V18 numFix AU09_r AU15_r bvpSD;0.2672804146574449;0.032910443411190496;2.7034542893304953e-05;5;0.3350434725117536;0.19951735680313623
numFix AU09_r AU01_r infoProcess V30;0.26722504593904545;0.05465272588810724;0.00019873710865279332;5;0.37975576392360505;0.15469432795448584
numFix AU09_r AU04_r AU01_r V2;0.2671920765514124;0.05311544475055552;0.00017792076474652506;5;0.3765575114262697;0.15782664167655513
AU17_r AU09_r AU15_r AU04_r AU01_r;0.2670072600442383;0.03113042553342534;2.1777028038787968e-05;5;0.33110523648576695;0.20290928360270968
numFix AU17_r AU09_r AU15_r infoProcess;0.26618850336404715;0.04662609579870533;0.00010848742718709763;5;0.3621922790547107;0.1701847276733836
V18 AU17_r AU15_r AU01_r hrMean;0.26618166894517453;0.015058895554891155;1.2240244546415242e-06;5;0.2971881430287508;0.23517519486159827
numFix AU17_r AU15_r AU01_r infoProcess;0.2657342546294772;0.028062724553171693;1.4705507547943668e-05;5;0.32351579235253014;0.20795271690642428
V18 AU17_r AU09_r AU01_r meanFixDur;0.2657040875196193;0.02010873348374784;3.906769731635269e-06;5;0.307108247694889;0.22429992734434967
V18 numFix AU17_r AU09_r;0.2656716199131114;0.03343532314436466;2.9478565553245814e-05;5;0.33451541239263455;0.19682782743358823
numFix AU09_r AU01_r V1 V16;0.2654799389436787;0.050073638163836705;0.00014493267378632308;5;0.36858225201424705;0.1623776258731104
V18 numFix AU09_r AU15_r;0.2653762487207339;0.03404414655025013;3.18004052680441e-05;5;0.3354736170078089;0.19527888043365887
V18 AU17_r AU15_r AU01_r V40;0.26520244977213503;0.013354773263791682;7.690423084318653e-07;5;0.2927001125048644;0.2377047870394057
V18 numFix AU15_r AU01_r bvpMean;0.2651123412389792;0.02213907620227003;5.781919685477436e-06;5;0.3106970051340046;0.2195276773439538
V18 AU17_r tempSD AU15_r AU04_r;0.2648078678858985;0.0291667352587558;1.7378672578152598e-05;5;0.3248625789107986;0.20475315686099835
numFix AU09_r AU01_r bvpMean V2;0.26480399191629844;0.05041609118801049;0.00015033360438220251;5;0.3686114204968444;0.16099656333575246
V18 numFix AU15_r AU01_r V17;0.2647937062686555;0.024439792610423085;8.61040956402701e-06;5;0.31511557704734816;0.21447183548996285
numFix AU09_r AU04_r AU01_r V16;0.2647369601594834;0.049327511830248603;0.00013817803945723864;5;0.366302988796632;0.1631709315223348
numFix AU09_r AU01_r V2 V30;0.2643593130978293;0.051983735128506875;0.00017053254645151358;5;0.37139454221899915;0.15732408397665942
numFix AU09_r AU01_r bvpMean infoProcess;0.26406338780178895;0.052056624110409365;0.00017221743911555884;5;0.3712486963441288;0.15687807925944908
V18 AU17_r AU15_r AU01_r V1;0.2640378523002683;0.013376166511238427;7.876957190460183e-07;5;0.2915795640251766;0.23649614057536006
V18 AU09_r AU15_r AU01_r meanFixDur;0.263993721402883;0.02195438979457934;5.687195218783227e-06;5;0.3091981134318359;0.21878932937393014
numFix AU17_r AU09_r AU15_r V1;0.26368195941043043;0.04411232574381215;9.058671855775964e-05;5;0.35450984781407446;0.1728540710067864
V18 AU09_r AU15_r AU01_r bvpSD;0.2635854575268016;0.01957981925325651;3.626951259619308e-06;5;0.3039005759911181;0.22327033906248517
numFix AU09_r AU01_r bvpMean V16;0.26350712257874453;0.04840740028098191;0.00013072709030580797;5;0.3631786288186599;0.16383561633882915
numFix AU09_r AU04_r AU01_r infoProcess;0.2634080312140547;0.05211145122870808;0.00017460929651158847;5;0.37070622955076293;0.15610983287734648
numFix AU09_r AU01_r V2 hrMean;0.2632036874930625;0.052340104626267314;0.00017815304192809114;5;0.370972686335671;0.155434688650454
AU17_r AU09_r AU15_r AU01_r V16;0.2629562615829643;0.03337357891704673;3.047810767783274e-05;5;0.33167292184504393;0.1942396013208847
V18 AU17_r AU09_r AU15_r V2;0.2627273381719649;0.029384140153826777;1.8467295686132244e-05;5;0.32322968888067116;0.20222498746325865
V18 numFix AU15_r AU01_r V1;0.2622729168862584;0.026102874794074433;1.1620015407944037e-05;5;0.31601909686732776;0.20852673690518908
V18 numFix AU17_r AU15_r;0.2618570983993378;0.021097818838486264;5.013308422392827e-06;5;0.30529779899062626;0.21841639780804933
V18 numFix AU15_r AU01_r V5;0.26183325217359216;0.02274665917279828;6.766979284709657e-06;5;0.30866893780262433;0.21499756654455998
numFix AU09_r AU01_r V30 V16;0.2617889360825238;0.050174413015844;0.0001542866388358546;5;0.36509874596623165;0.15847912619881593
numFix AU09_r AU01_r V1 V30;0.2616538734157513;0.051604418230123655;0.00017251443439760813;5;0.36790808380043344;0.15539966303106917
V18 numFix AU15_r AU01_r hrMean;0.2611340931802271;0.02813702999785632;1.592747237996348e-05;5;0.3190686268408961;0.20319955951955818
numFix tempSD AU09_r AU01_r infoProcess;0.26107423094097604;0.04439786810930363;9.660736900807614e-05;5;0.35249005502178193;0.16965840686017014
V18 AU17_r tempSD AU09_r AU15_r;0.2610348920324679;0.03556194524508729;4.033272076550268e-05;5;0.33425742881042;0.18781235525451578
V18 AU17_r AU09_r AU01_r;0.261016314471855;0.01759146458298848;2.46089439655055e-06;5;0.29723738318810755;0.2247952457556025
V18 AU09_r AU15_r AU01_r;0.2608792918482381;0.02204186081036299;6.057499643968592e-06;5;0.3062637879076674;0.21549479578880879
numFix AU09_r AU01_r V2 V5;0.2607888138617447;0.04785395333722066;0.00013015067571610635;5;0.35932076519500594;0.16225686252848343
numFix tempSD AU09_r AU01_r V30;0.2606863797973788;0.042711978578265135;8.346791664334869e-05;5;0.3486309340323068;0.17274182556245077
V18 AU17_r AU15_r AU01_r bvpSD;0.260550307628149;0.014746630540007383;1.226121297829376e-06;5;0.2909138237301184;0.2301867915261796
