;importance;stddev;p_value;n;p99_high;p99_low
tempSD AU04_r AU01_r V1 V40;0.10464668277240893;0.0199478439909328;0.00015104625735259678;5;0.1457195692582433;0.06357379628657456
AU09_r AU04_r V1 V30 hrMean;0.10463918940550987;0.030619984078503172;0.0007877664511138267;5;0.16768615983630308;0.04159221897471664
AU17_r AU04_r V2 meanFixDur V17;0.10463253457172494;0.013350977137892232;3.1131274624245074e-05;5;0.13212238102875928;0.07714268811469062
V18 AU04_r V30 hrMean V17;0.1046300423165171;0.011371728022670356;1.648360390219401e-05;5;0.12804458748917966;0.08121549714385454
numFix AU15_r infoProcess;0.10462282905834427;0.019558099908131354;0.0001399627064110953;5;0.14489322709085478;0.06435243102583377
numFix V1 infoProcess V2 hrMean;0.10460280981602552;0.024097487133414152;0.0003153348759533604;5;0.1542198688863923;0.05498575074565873
tempSD AU09_r infoProcess V2 V5;0.10459708953802324;0.024439751197823885;0.0003330576589043861;5;0.15491887504760177;0.05427530402844472
numFix AU15_r hrMean V40 bvpSD;0.10459311684807374;0.018423521903584806;0.00011089278259419386;5;0.14252740308768838;0.06665883060845909
AU09_r V1 V2 V30 hrMean;0.10459193730788993;0.02723099323663396;0.0005048661027808379;5;0.1606609287544432;0.04852294586133666
AU17_r AU04_r bvpMean meanFixDur V17;0.1045917647196993;0.011639312480768183;1.8103534273564252e-05;5;0.12855726998999553;0.08062625944940308
AU17_r AU04_r V30 V5 hrMean;0.10457010260394206;0.00952694691902784;8.176641694833625e-06;5;0.12418621798662016;0.08495398722126396
AU15_r AU04_r V1 V5 hrMean;0.10456834765950399;0.011778757429137128;1.8996188990214526e-05;5;0.12882097200582587;0.0803157233131821
AU17_r AU04_r V16 V17;0.10456785469344662;0.008474560550234001;5.1317257739696475e-06;5;0.12201709199725283;0.08711861738964041
numFix tempSD V1 V16 V17;0.10456552051658292;0.021233014024910842;0.00019327106239743944;5;0.14828458986531565;0.06084645116785021
numFix tempSD AU04_r V5 V40;0.10456468537554724;0.013620382573935844;3.377821485647775e-05;5;0.1326092413489742;0.07652012940212027
AU15_r AU04_r V2 meanFixDur V16;0.1045598687661323;0.010739791297075063;1.3171033756784394e-05;5;0.12667324748650038;0.08244649004576421
numFix AU04_r infoProcess V2 V5;0.10455828995912149;0.024588115542432468;0.00034141732641506116;5;0.15518555970486225;0.05393102021338074
AU17_r tempSD V2 hrMean V17;0.10455569546277484;0.02479466143029607;0.0003526474428917711;5;0.15560824604639428;0.05350314487915538
V18 V2 V16 V17 bvpSD;0.10455497671294675;0.012157687052238643;2.1548498653031594e-05;5;0.12958782239059863;0.07952213103529487
numFix tempSD V1 V5 meanFixDur;0.1045547769352212;0.015916869884604203;6.25078044735876e-05;5;0.13732783202214205;0.07178172184830033
numFix AU15_r meanFixDur hrMean;0.10455164280723202;0.019005343298632793;0.00012544825595735433;5;0.14368390734087674;0.06541937827358729
AU09_r AU15_r V2;0.10455080062388218;0.03352494345297416;0.001111814439656788;5;0.1735791225575166;0.03552247869024777
V18 AU01_r V40;0.10453894359571377;0.01237062545927909;2.3097766180668534e-05;5;0.13001023239658346;0.07906765479484405
AU09_r AU15_r bvpMean hrMean;0.1045383120660561;0.02511501389171757;0.0003707732512006323;5;0.15625047279548399;0.05282615133662821
V18 AU01_r V30;0.10453529073230934;0.011970960225061432;2.0281013546273154e-05;5;0.12918366329196432;0.07988691817265436
AU17_r tempSD infoProcess V5 V40;0.10452892507411056;0.030123798263461895;0.0007434473785624313;5;0.16655424205371705;0.04250360809450408
tempSD AU15_r infoProcess V30 V16;0.10451053004142938;0.036299963229706494;0.0014974355811203707;5;0.17925265605020496;0.02976840403265378
AU17_r AU04_r V1 meanFixDur V17;0.10449059307886852;0.015058062932615706;5.0352148208467385e-05;5;0.13549535278167155;0.07348583337606547
V18 tempSD V5 hrMean V17;0.10448820388454734;0.02655296631022741;0.0004601133893167048;5;0.1591611285183015;0.04981527925079318
numFix tempSD AU04_r V40 V17;0.10447303199606535;0.017281235882371283;8.66529803619581e-05;5;0.1400553355299307;0.06889072846219997
tempSD AU09_r AU04_r V5 meanFixDur;0.104458981646992;0.016727533722002898;7.628178570647992e-05;5;0.1389012047796817;0.07001675851430227
AU15_r AU04_r bvpMean V1 hrMean;0.1044525419199045;0.009302389495764406;7.469721577509783e-06;5;0.12360629046436977;0.08529879337543922
V18 tempSD V1 infoProcess;0.10444783128091939;0.030018837061371036;0.0007358339742779669;5;0.1662570316947028;0.042638630867135985
AU15_r AU01_r V2 meanFixDur V17;0.10444159922652725;0.02187852534672735;0.0002181558276995985;5;0.14948978530879475;0.059393413144259735
AU17_r tempSD hrMean V17 bvpSD;0.10443175981503239;0.03137393805145344;0.0008701436016546909;5;0.16903113189688157;0.03983238773318322
AU15_r AU04_r bvpMean V16 V40;0.10442928495170964;0.006010660441042773;1.3111878296722662e-06;5;0.11680531787597258;0.0920532520274467
numFix AU04_r V2 V5 hrMean;0.10442275611364482;0.027641599760357054;0.0005379349673685034;5;0.1613371920677292;0.047508320159560434
AU15_r AU04_r V1 infoProcess V40;0.10441662590957537;0.007462477052500085;3.1094441758237545e-06;5;0.11978196930306695;0.0890512825160838
AU17_r AU04_r infoProcess V30 V5;0.10441147397845754;0.014365652538044168;4.1937916528640744e-05;5;0.1339905511087091;0.07483239684820597
AU15_r AU01_r V1 V2;0.10441108665617857;0.022731227953609053;0.00025335368189175747;5;0.15121499919161802;0.05760717412073914
AU09_r AU15_r bvpMean V5;0.10441013175801442;0.027741413728532675;0.0005456492067042316;5;0.16153008605214805;0.04729017746388078
AU09_r V1 infoProcess V30 hrMean;0.10440700325671312;0.028888917505469233;0.0006369511124659903;5;0.1638896836877468;0.044924322825679444
V18 AU04_r infoProcess V17;0.10440374220573401;0.003441954058635086;1.4154944146681175e-07;5;0.11149077318532435;0.09731671122614366
numFix AU04_r V1 infoProcess V17;0.10439791935974299;0.02104230325402421;0.00018776771775898049;5;0.14772431259531715;0.06107152612416882
AU15_r AU01_r bvpMean hrMean bvpSD;0.10439497958830098;0.018497178509608563;0.00011348038237769756;5;0.14248092579776103;0.06630903337884092
numFix AU15_r bvpMean bvpSD;0.10437869592283593;0.01745047538615026;9.035427493458e-05;5;0.14030946593412075;0.0684479259115511
AU17_r AU15_r V17;0.10436761763558755;0.01376613021751741;3.5494244106834094e-05;5;0.13271227002159547;0.07602296524957963
tempSD AU15_r AU01_r meanFixDur;0.10436513945689999;0.017904543974388162;9.999058956747487e-05;5;0.1412308429672615;0.06749943594653848
numFix AU04_r infoProcess V16 hrMean;0.10436004851999155;0.02361592483566126;0.00029429183793549006;5;0.15298556416338685;0.05573453287659625
numFix bvpMean V1 infoProcess V2;0.10435842311657335;0.02313542741115767;0.0002717971281280105;5;0.1519945879217356;0.056722258311411124
V18 tempSD infoProcess hrMean V40;0.10435444702370396;0.02610852304670424;0.0004333735579242778;5;0.1581122568350052;0.05059663721240271
tempSD AU15_r V1 V30 V40;0.10434124204067514;0.03554342482864518;0.0013932194540858078;5;0.17752564502519358;0.03115683905615671
tempSD AU04_r AU01_r infoProcess V5;0.10433942364170476;0.016635414346439142;7.497975908077456e-05;5;0.13859197170688364;0.07008687557652588
AU17_r AU04_r V30 meanFixDur V16;0.1043294139837287;0.01490887711692586;4.8708028545511266e-05;5;0.13502699803005927;0.07363182993739815
V18 tempSD meanFixDur V40 V17;0.1043221280722457;0.024052244424576052;0.00031632049025852256;5;0.15384603177979414;0.054798224364697244
AU09_r AU15_r V30 meanFixDur;0.10431655547558238;0.036079042562575964;0.0014740485123753916;5;0.1786038027772881;0.030029308173876654
AU17_r tempSD V1 meanFixDur;0.10430758322905617;0.02879855481272876;0.0006316856608014584;5;0.16360420562679207;0.045010960831320265
AU09_r bvpMean infoProcess V2 V30;0.10430385538120693;0.02738565998712816;0.0005214022971269696;5;0.1606913078047494;0.04791640295766444
AU17_r AU04_r V2 meanFixDur V40;0.10429251077098076;0.015252627340612026;5.3365739070058966e-05;5;0.1356978812790141;0.07288714026294739
AU17_r AU01_r V1 V30;0.10428706573175817;0.01749055092441587;9.148680138840968e-05;5;0.14030035183023468;0.06827377963328166
AU09_r AU15_r meanFixDur V40 V17;0.1042570285302142;0.03222646522003315;0.0009687551146331005;5;0.17061176583534665;0.037902291225081736
AU15_r AU04_r infoProcess V2 V40;0.1042523497352964;0.009406582575691729;7.868024421412856e-06;5;0.12362063327143344;0.08488406619915936
tempSD AU04_r bvpMean V2 bvpSD;0.10424876767416595;0.025485847699438697;0.00039651039013726444;5;0.15672448033915953;0.051773055009172356
numFix tempSD bvpMean V30 V17;0.10421814236253743;0.03069538225424526;0.0008073580016512052;5;0.16742035867929717;0.04101592604577771
AU17_r AU04_r V2 meanFixDur bvpSD;0.10421190162184027;0.013649253221722255;3.4520627364543455e-05;5;0.1323159026580942;0.07610790058558634
AU15_r AU01_r V30 V16 bvpSD;0.1042103216842023;0.016729444126601222;7.703472263201803e-05;5;0.13865647836636458;0.06976416500204002
V18 tempSD infoProcess hrMean V17;0.10420824110040354;0.02693667896538292;0.000491152209510728;5;0.15967123539459538;0.04874524680621169
AU09_r AU15_r bvpMean meanFixDur bvpSD;0.10419173026007626;0.023021671325793032;0.00026831273631738493;5;0.15159366971319652;0.056789790806956
AU17_r AU09_r bvpMean V5 bvpSD;0.10418831442555365;0.02387678546663786;0.00030902465742597144;5;0.15335094571360686;0.055025683137500454
tempSD AU15_r bvpMean V2 V30;0.10418001461432161;0.0370330837993221;0.0016313948825001207;5;0.18043164600873884;0.027928383219904374
AU15_r AU04_r infoProcess V16 V40;0.10417709392664469;0.006950681902886865;2.3638974323378695e-06;5;0.11848864403332195;0.08986554381996743
numFix tempSD V2 meanFixDur bvpSD;0.10417414986774257;0.018900513970670215;0.0001245119676972087;5;0.14309056936621706;0.06525773036926807
V18 bvpMean V16 hrMean V40;0.10416672276615109;0.012923032167541783;2.7852406358329432e-05;5;0.13077542461440578;0.0775580209178964
numFix AU15_r V2 V30;0.10416160398065477;0.022719053499211796;0.00025518425796504547;5;0.1509404491462214;0.057382758815088135
V18 bvpMean infoProcess V16 hrMean;0.10415854166305002;0.010889650518539393;1.4130399541160854e-05;5;0.12658048259168772;0.08173660073441232
AU17_r AU15_r V40;0.10415043350899571;0.01421259290796225;4.059973710653861e-05;5;0.1334143587453997;0.0748865082725917
AU09_r AU04_r V2 V30 V16;0.10414988179656748;0.0269618194961865;0.0004939690705604918;5;0.15966464079116297;0.04863512280197199
numFix AU04_r bvpMean V1 bvpSD;0.10414848475299539;0.021158040631457577;0.00019361676901673237;5;0.1477131828483654;0.060583786657625364
AU09_r AU15_r V16;0.10414748484093735;0.030687334930063224;0.000808629577874121;5;0.16733313160598043;0.040961838075894264
AU17_r AU04_r infoProcess V5 V40;0.104141303992962;0.015139709315155566;5.2121795115384e-05;5;0.13531417472588753;0.07296843326003645
AU17_r tempSD V1 V40 V17;0.10414039346943463;0.0317729242746783;0.0009222876522019834;5;0.16956128369947943;0.03871950323938983
numFix tempSD V2 V16 bvpSD;0.10412745526749072;0.020806075674524017;0.00018151324835505013;5;0.14696745265186187;0.061287457883119574
AU17_r tempSD V5 meanFixDur hrMean;0.10411418497179885;0.02277854642670192;0.0002582404561237683;5;0.1510155268973473;0.0572128430462504
V18 AU04_r V1 bvpSD;0.10411157877112238;0.00763251331142312;3.4415148286324596e-06;5;0.11982702917188734;0.08839612837035743
V18 AU01_r bvpSD;0.10410456747642875;0.011404199399706768;1.7007646954691965e-05;5;0.1275859716632114;0.0806231632896461
tempSD AU09_r infoProcess V16 bvpSD;0.10410120716038293;0.026952089332897423;0.0004941706163195207;5;0.15959593161428107;0.0486064827064848
AU15_r AU01_r bvpMean V40 bvpSD;0.10409980213328858;0.01639990178299116;7.153358296607713e-05;5;0.13786742657519852;0.07033217769137864
AU17_r AU04_r meanFixDur hrMean bvpSD;0.10409951189953018;0.010983236802494252;1.4651742165032295e-05;5;0.12671414828033084;0.08148487551872952
AU15_r AU01_r V5 V16;0.10409685264178552;0.018811444127262933;0.00012258635327909833;5;0.14282987610160836;0.06536382918196268
numFix AU04_r V1 V5 hrMean;0.10408486103812135;0.028728002807312244;0.0006309276188321955;5;0.1632362158815723;0.044933506194670396
AU15_r AU04_r bvpMean V16 hrMean;0.10408233450551288;0.0078867601684529;3.925998916543974e-06;5;0.12032128269896716;0.0878433863120586
AU09_r AU15_r infoProcess;0.10407886480973712;0.032653377805694876;0.0010244532782960763;5;0.17131262102930606;0.036845108590168166
AU17_r AU01_r V5 bvpSD;0.10407749361281877;0.01103438804814499;1.493708884972984e-05;5;0.12679745111539967;0.08135753611023788
tempSD AU09_r bvpMean V2 hrMean;0.10406844197092913;0.02301612505150503;0.000269294863889695;5;0.15145896156863273;0.056677922373225526
tempSD AU04_r infoProcess V30 V16;0.104068117237793;0.03316024269339082;0.001085830773636;5;0.17234551526674513;0.03579071920884086
AU15_r AU01_r infoProcess V5 meanFixDur;0.10406226577759994;0.02241769388254571;0.00024320108389870143;5;0.15022060732721856;0.057903924227981324
V18 AU04_r infoProcess V5;0.104043662075367;0.0038910086136307066;2.3429232262361638e-07;5;0.11205530259028686;0.09603202156044714
V18 tempSD V2 meanFixDur hrMean;0.10403945608368112;0.02230924324563052;0.0002388697668852505;5;0.14997449627294426;0.05810441589441798
V18 bvpMean meanFixDur V16 V17;0.10403055581083369;0.011177699081171938;1.5750399038595203e-05;5;0.12704559271118604;0.08101551891048134
AU17_r AU04_r V2 hrMean;0.10402988061369467;0.01085046982596551;1.3998118722708533e-05;5;0.12637114795478804;0.08168861327260131
V18 AU04_r V30 hrMean bvpSD;0.10402024640737503;0.011279203847147218;1.633223530114408e-05;5;0.12724428302381544;0.08079620979093463
tempSD AU04_r AU01_r infoProcess V17;0.10400973024774436;0.01699643986336095;8.26057763344061e-05;5;0.13900563484216819;0.06901382565332054
V18 V5 V16 V17 bvpSD;0.10400965622997368;0.012172382348787723;2.2105447313631982e-05;5;0.1290727597263307;0.07894655273361667
tempSD AU04_r V1 V2 hrMean;0.10400952591745231;0.022385550908395065;0.0002423269272801507;5;0.15010168463903165;0.05791736719587298
numFix tempSD bvpMean V40 bvpSD;0.10400046082715672;0.025793770675776626;0.00041907744504525793;5;0.15711019115637792;0.050890730497935514
tempSD AU15_r bvpMean V1 V16;0.10399858117993585;0.03183264768186066;0.000933617092239914;5;0.16954244273083433;0.038454719629037376
AU17_r tempSD V5 meanFixDur V40;0.10398095694685425;0.02723226163410731;0.0005164062974242098;5;0.16005256004133625;0.04790935385237224
numFix AU04_r V1 meanFixDur hrMean;0.10397788498126707;0.0267628837215007;0.0004832014190727825;5;0.1590830324661999;0.04887273749633425
AU15_r AU04_r V5 V16 hrMean;0.10397589491212567;0.010774414172596843;1.3640578040725425e-05;5;0.12616056261173209;0.08179122721251923
tempSD AU04_r AU01_r hrMean bvpSD;0.10396912539341711;0.02151134058857674;0.00020789451653428125;5;0.14826127298361985;0.05967697780321439
AU17_r AU04_r infoProcess V5 V17;0.10393414528579167;0.01328965639148455;3.1390238864133127e-05;5;0.1312977314784298;0.07657055909315355
AU17_r AU04_r V5 V40 bvpSD;0.10392646382054534;0.010242848531388253;1.1177781580128e-05;5;0.12501663051788536;0.08283629712320532
tempSD AU15_r V1 V2 V16;0.10391456131766477;0.02796244971494998;0.000572754406404145;5;0.16148963176287365;0.0463394908724559
tempSD AU04_r V1 V30 V17;0.10390967820127192;0.03539611431920167;0.0013931755747836386;5;0.17679076681079858;0.031028589591745273
tempSD AU09_r V30 V40;0.1039033424348819;0.02768419942608505;0.0005515205562214916;5;0.1609054916894902;0.04690119318027362
tempSD AU04_r AU01_r V1 V17;0.10390028766213424;0.020927052110784418;0.00018724618768115796;5;0.1469893772008376;0.060811198123430894
AU15_r AU01_r V2 V17 bvpSD;0.10389830118779804;0.01843330821860992;0.00011406438780414325;5;0.14185273758531064;0.06594386479028543
numFix V1 infoProcess V2 meanFixDur;0.10389581498764118;0.02048767638032646;0.00017241368113954318;5;0.14608022382451363;0.06171140615076872
AU04_r AU01_r V1 V2 V16;0.10388257588245313;0.022308898395544483;0.0002402585470927709;5;0.1498169060206228;0.057948245744283464
tempSD AU09_r AU04_r hrMean V40;0.10388147083234962;0.017043851484709507;8.392102087266818e-05;5;0.13897499661042836;0.06878794505427088
V18 V1 V2 V16 V40;0.1038807728321867;0.00721461908206024;2.7739988639843855e-06;5;0.11873577323878143;0.08902577242559198
AU09_r AU04_r bvpMean infoProcess V2;0.10386913739509915;0.02133671091306645;0.00020216090950183577;5;0.14780172006978756;0.05993655472041073
V18 AU04_r V17 bvpSD;0.10386456243515747;0.007223609551910618;2.789542629547254e-06;5;0.11873807434343563;0.08899105052687932
AU15_r AU01_r V16 V17;0.10385313340760446;0.018874648631639804;0.00012535152920298547;5;0.14271629581551837;0.06498997099969056
V18 tempSD infoProcess V5 hrMean;0.10385242997028495;0.025819236915486488;0.00042297874515814506;5;0.1570145956390496;0.050690264301520294
numFix tempSD V30 meanFixDur hrMean;0.10384960204107094;0.029422113887223666;0.0006968682990562239;5;0.16443014119169416;0.04326906289044771
AU15_r AU01_r infoProcess meanFixDur V17;0.10384672403514165;0.021694128148021186;0.0002158346828968559;5;0.14851523373663306;0.05917821433365027
tempSD AU15_r bvpMean infoProcess V2;0.10384525441695006;0.028365001902720934;0.0006063901900002141;5;0.1622491853806418;0.045441323453258284
AU17_r tempSD V2 V16;0.10383670348227039;0.028592919611944028;0.0006253627438428012;5;0.16270992015941002;0.04496348680513076
AU15_r AU04_r infoProcess V5 V16;0.10383557710289874;0.008842348585670038;6.249992326426192e-06;5;0.12204209505503862;0.08562905915075887
V18 tempSD meanFixDur hrMean bvpSD;0.10383157227726288;0.02648315689918699;0.0004666383916063538;5;0.15836075836881622;0.049302386185709535
AU17_r AU04_r V5 V40 V17;0.10382575928494572;0.009535591877564737;8.442727295138707e-06;5;0.12345967475673733;0.08419184381315412
tempSD AU15_r V1 V30 bvpSD;0.10380437713873122;0.039977435712597244;0.002188905894382874;5;0.18611846981785013;0.02149028445961232
numFix AU15_r V2;0.10379197636494202;0.01979286225679844;0.00015128324207898882;5;0.14454575331811853;0.06303819941176549
AU17_r AU01_r infoProcess V40;0.10379189718262519;0.01644995176677229;7.324513973104132e-05;5;0.13766257523290476;0.06992121913234561
AU17_r AU04_r V1 V40 V17;0.10379059333109901;0.012241387658265917;2.2796042766020024e-05;5;0.12899577971342635;0.07858540694877166
tempSD AU01_r bvpMean V30 V5;0.10378500588068051;0.03357538226030874;0.0011492893037693323;5;0.17291718201575523;0.034652829745605795
V18 tempSD V5 meanFixDur V40;0.10377362751435641;0.02325752097090003;0.0002834961784745862;5;0.1516611846465405;0.05588607038217233
AU15_r AU01_r V1 infoProcess bvpSD;0.1037679481441337;0.018608268932597;0.00011894789023492409;5;0.14208263106995977;0.06545326521830763
AU17_r tempSD V30 V40 V17;0.10376296617768181;0.038674814856641454;0.0019421224878160045;5;0.18339494451025423;0.024130987845109406
numFix AU15_r V5 V17;0.10375135129493654;0.01750519520281431;9.366277487176082e-05;5;0.13979479016504087;0.06770791242483219
numFix AU15_r meanFixDur V17;0.10374812053220697;0.0166097192665653;7.620992606154064e-05;5;0.13794776207278187;0.06954847899163208
tempSD AU09_r bvpMean infoProcess;0.1037413181106132;0.024250224027457006;0.0003336111528972229;5;0.15367286455686244;0.05380977166436396
AU17_r tempSD V16 bvpSD;0.10373853518901784;0.03537522237713213;0.0013986628900714154;5;0.17657660700106598;0.03090046337696971
tempSD AU15_r AU04_r;0.103718733791992;0.024581003654936578;0.00035180898798576856;5;0.15433136006308198;0.05310610752090201
tempSD AU09_r V1 meanFixDur V40;0.10371401908694133;0.017647714582466983;9.68283996817706e-05;5;0.1400509073295777;0.06737713084430498
numFix AU15_r V30 V5 meanFixDur;0.103713770846996;0.021281380723677804;0.00020129773919601608;5;0.1475324278969887;0.05989511379700329
numFix tempSD infoProcess V16 V17;0.10370863801900732;0.02427774645874288;0.00033548275004462104;5;0.1536968535316746;0.053720422506340036
tempSD AU09_r V30 V40 V17;0.10370339944348346;0.028413057707615475;0.0006135029018906656;5;0.1622062779736549;0.045200520913312024
tempSD AU15_r V1 V30 hrMean;0.10370329104152491;0.0336595004217098;0.0011635208026320024;5;0.17300866763356096;0.034397914449488864
AU09_r AU15_r infoProcess bvpSD;0.10368581546413554;0.028125871502716646;0.0005905773600046101;5;0.1615973736290851;0.04577425729918596
numFix AU04_r bvpMean V16 hrMean;0.1036746498155112;0.022696947772080967;0.0002588839016104057;5;0.15040797898338182;0.056941320647640556
AU17_r AU15_r V30 V40;0.10367066317155124;0.016939096921366838;8.256869415103538e-05;5;0.1385484978558455;0.06879282848725699
AU17_r AU04_r infoProcess V30 bvpSD;0.1036527042728332;0.016133195044522358;6.820883963677369e-05;5;0.136871175853957;0.0704342326917094
AU15_r AU04_r V5 V16 V17;0.10364927880564849;0.007379656199851688;3.0628867958019483e-06;5;0.11884409291883118;0.0884544646924658
tempSD AU15_r bvpMean V30 V16;0.10364416400465196;0.03802133293319984;0.0018320695305450686;5;0.18193061402477806;0.025357713984525868
tempSD AU15_r V1 V2 meanFixDur;0.10362929376630178;0.021771075866836707;0.00022061542009020992;5;0.14845623988436482;0.05880234764823874
AU17_r AU04_r V30 V16 V40;0.10362878907249462;0.012005168247461034;2.1232487077580183e-05;5;0.1283475964230755;0.07890998172191374
AU17_r AU09_r bvpMean hrMean bvpSD;0.10361402460785119;0.02008019989885344;0.00016111580926915213;5;0.1449594337374472;0.06226861547825516
tempSD AU01_r V1 V30 V16;0.10360799751242215;0.03032023472911752;0.0007879634540444643;5;0.16603777988985405;0.041178215134990266
tempSD AU09_r V1 V16 hrMean;0.10360381752028922;0.021485213849635705;0.00020976619998178876;5;0.14784216979390244;0.059365465246676
AU17_r AU04_r infoProcess V40 bvpSD;0.10359481224769125;0.016643296696205425;7.726566053799287e-05;5;0.13786359017998456;0.06932603431539794
numFix AU15_r V1;0.10359126594394022;0.018956074771279342;0.00012874700497474107;5;0.14262208589880077;0.06456044598907966
AU17_r AU04_r V1 V30 V40;0.10358016826202546;0.015084643211361113;5.2484678948789775e-05;5;0.13463965712614379;0.07252067939790713
tempSD AU04_r V2 V30 meanFixDur;0.10357789419386529;0.02876394498782694;0.0006458316523145478;5;0.16280325448376975;0.04435253390396083
tempSD AU09_r AU04_r hrMean bvpSD;0.1035745372526788;0.01941945718709126;0.0001415894861688957;5;0.14355946800632172;0.06358960649903589
tempSD AU15_r bvpMean infoProcess V16;0.10357262393253316;0.030737523151248305;0.0008308510096971464;5;0.16686160893867125;0.04028363892639508
AU09_r AU04_r V1 V2 V40;0.10357033873373052;0.026962023745706033;0.0005046517141303512;5;0.15908551828090975;0.04805515918655128
numFix tempSD AU04_r hrMean;0.10356326691953774;0.021528486198676738;0.0002117359806687233;5;0.14789071755791386;0.05923581628116161
tempSD AU04_r V1 infoProcess bvpSD;0.10356213907227167;0.026821685208231562;0.0004948176602543599;5;0.15878835963110627;0.04833591851343709
AU17_r tempSD V40 V17 bvpSD;0.10354761752847404;0.03525183272008791;0.0013901035032101684;5;0.1761316283312418;0.030963606725706264
tempSD AU09_r bvpMean V16 V40;0.10354621351894426;0.026718313843360788;0.0004878398585486703;5;0.15855959100876582;0.0485328360291227
AU17_r AU04_r infoProcess V16;0.10354449560543968;0.01369521096159141;3.588272935229507e-05;5;0.1317431242632877;0.07534586694759168
tempSD AU04_r V1 V30;0.10354071680329253;0.03484402905008006;0.0013315604940854564;5;0.17528505421306845;0.031796379393516636
AU09_r V1 infoProcess V2 hrMean;0.10353752006779918;0.025925056048608758;0.00043471930666612345;5;0.15691756879423843;0.05015747134135992
AU15_r AU04_r V1 infoProcess V5;0.10352892195886243;0.009457551642932719;8.264801365974604e-06;5;0.12300215150891604;0.08405569240880882
AU17_r tempSD V1 bvpSD;0.10352828154010911;0.03557271030702933;0.0014386747736121555;5;0.17677298372938882;0.030283579350829384
V18 AU04_r V30 V17 bvpSD;0.10352362240471505;0.008387380618216025;5.125513163501043e-06;5;0.12079335502354153;0.08625388978588856
numFix tempSD V1 V2;0.1035190455594512;0.01947012247402194;0.0001433386928833383;5;0.14360829683915305;0.06342979427974935
V18 tempSD V2 V30;0.10351742385095072;0.03559529161986483;0.0014426282420716236;5;0.17680862127546565;0.0302262264264358
AU09_r bvpMean V1 V2 V16;0.10351714052727883;0.021387020011819448;0.00020673391079670836;5;0.14755331033164532;0.05948097072291235
AU09_r AU15_r V2 bvpSD;0.10351425512163512;0.02879299578102474;0.0006498355000828422;5;0.16279943139625846;0.04422907884701178
numFix tempSD bvpMean V2 V5;0.1035109575230109;0.019995425979054154;0.0001590940385114504;5;0.1446818159800401;0.062340099065981695
V18 bvpMean V2 meanFixDur V16;0.10351088217727562;0.009180180945548969;7.346850701637449e-06;5;0.12241300162774564;0.0846087627268056
numFix tempSD V2 V30 hrMean;0.10351068352364708;0.027552974410761256;0.0005494906904125669;5;0.16024263865798122;0.04677872838931295
numFix V1 V2 V16 hrMean;0.10350111179771712;0.018722499512818035;0.00012306719272418276;5;0.1420509970670527;0.06495122652838155
AU17_r tempSD infoProcess V40 V17;0.1034990432066325;0.03183611974661056;0.0009510903258447276;5;0.16905005378684007;0.037948032626424946
AU17_r AU09_r V1 V5 V40;0.10349724323608422;0.029469609003980005;0.0007102576873631509;5;0.16417557548856104;0.04281891098360741
tempSD AU09_r bvpMean meanFixDur V16;0.10349529063099983;0.023725115526444053;0.0003093848997456819;5;0.1523456314158926;0.05464494984610704
numFix tempSD infoProcess V17 bvpSD;0.10348905113076907;0.025447787590167532;0.0004054871735353016;5;0.15588639750472671;0.05109170475681142
AU17_r AU04_r hrMean V40 V17;0.10348093564891633;0.008551678006019622;5.54626878663044e-06;5;0.12108895886006166;0.08587291243777101
AU09_r AU15_r V30 meanFixDur bvpSD;0.10346716960277066;0.031096580426372495;0.0008714577481345667;5;0.16749545850108838;0.039438880704452936
numFix tempSD bvpMean V2 V17;0.10346345827521582;0.022844394894250563;0.00026756947011776015;5;0.15050038310556946;0.056426533444862176
tempSD bvpMean infoProcess V30 bvpSD;0.10345115425773214;0.03961528760977082;0.0021439442773334523;5;0.18501957898771276;0.02188272952775154
numFix tempSD V1 meanFixDur V40;0.10344565145802267;0.02029732700737313;0.00016908956785114925;5;0.14523812830507632;0.061653174610969044
AU17_r tempSD infoProcess V16;0.10344479326464082;0.031973091540268735;0.0009684921610955647;5;0.16927783066114194;0.03761175586813971
numFix AU04_r bvpMean infoProcess hrMean;0.1034444536209183;0.02493893209398154;0.0003757815817041633;5;0.1547940594950986;0.05209484774673798
V18 AU04_r V2 V30 meanFixDur;0.10343696365874848;0.0037868519494011063;2.151868740400461e-07;5;0.1112341441624215;0.09563978315507546
AU15_r AU01_r V1 V30 V40;0.10343155038010754;0.02285549298203723;0.0002683940380840754;5;0.1504913263266058;0.05637177443360927
numFix AU15_r meanFixDur V40 bvpSD;0.10340658746183688;0.016965984149354147;8.392193181475831e-05;5;0.138339783320178;0.06847339160349578
numFix tempSD bvpMean V16 hrMean;0.10340411238175204;0.023919941651614696;0.0003204074968256342;5;0.1526556028511544;0.05415262191234968
numFix tempSD V30 V16 bvpSD;0.10339678400963244;0.030902512458316538;0.0008532891711155651;5;0.16702548427941857;0.039768083739846305
tempSD AU09_r V1 V16 V40;0.10339080724031657;0.023503850617889895;0.00029954472364465126;5;0.15178556052029032;0.05499605396034282
numFix AU17_r V30 V40;0.10336306694817259;0.019939996944970898;0.00015826025234913147;5;0.1444197962579137;0.06230633763843147
V18 AU04_r V30 hrMean V40;0.10335310573489687;0.01221359411620436;2.297298794090243e-05;5;0.1285010648299719;0.07820514663982184
